name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,resistance,stamina
drow-inquisitor,https://www.aidedd.org/dnd/monstres.php?vo=drow-inquisitor,14.0,humanoid (elf),Medium,16,143,,neutral evil,,Mordenkainen's Tome of Foes,11.0,15.0,14.0,16.0,21.0,20.0,Slashing,4
drow-mage,https://www.aidedd.org/dnd/monstres.php?vo=drow-mage,7.0,humanoid (elf),Medium,12,45,,neutral evil,,Monster Manual (BR),9.0,14.0,10.0,17.0,13.0,12.0,Slashing,4
drow-matron-mother,,20.0,humanoid (elf),Medium,17,262,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
drow-priestress-of-lolth,,8.0,humanoid (elf),Medium,16,71,,neutral evil,,Monster Manual,,,,,,,Slashing,4
drow-shadowblade,,11.0,humanoid (elf),Medium,17,150,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
druid,https://www.aidedd.org/dnd/monstres.php?vo=druid,2.0,humanoid (any race),Medium,11,27,,any alignment,,Monster Manual (SRD),10.0,12.0,13.0,12.0,15.0,11.0,Ice,4
dryad,https://www.aidedd.org/dnd/monstres.php?vo=dryad,1.0,fey,Medium,11,22,,neutral,,Monster Manual (SRD),10.0,12.0,11.0,14.0,15.0,18.0,Ice,4
duergar,https://www.aidedd.org/dnd/monstres.php?vo=duergar,1.0,humanoid (dwarf),Medium,16,26,,lawful evil,,Monster Manual (SRD),14.0,11.0,14.0,11.0,10.0,9.0,Ice,4
duergar-despot,,12.0,humanoid (dwarf),Medium,21,119,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
duergar-kavalrachni,,2.0,humanoid (dwarf),Medium,16,26,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
duergar-mind-master,,2.0,humanoid (dwarf),Medium,14,39,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
duergar-soulblade,,1.0,humanoid (dwarf),Medium,14,18,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
duergar-stone-guard,,2.0,humanoid (dwarf),Medium,18,39,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
duergar-warlord,,6.0,humanoid (dwarf),Medium,20,75,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
duergar-xarrorn,,2.0,humanoid (dwarf),Medium,18,26,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
dybbuk,,4.0,fiend (demon),Medium,14,37,fly,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
eagle,https://www.aidedd.org/dnd/monstres.php?vo=eagle,0.0,beast,Small,12,3,fly,unaligned,,Monster Manual (SRD),6.0,15.0,10.0,2.0,14.0,7.0,Slashing,3
earth-elemental,https://www.aidedd.org/dnd/monstres.php?vo=earth-elemental,5.0,elemental,Large,17,126,,neutral,,Monster Manual (SRD),20.0,8.0,20.0,5.0,10.0,5.0,Slashing,3
earth-elemental-myrmidon,,7.0,elemental,Medium,18,127,,neutral,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
eblis,,1.0,monstrosity,Large,13,26,fly,neutral evil,,Adventures (Tomb of Annihilation),,,,,,,Piercing,3
efreeti,https://www.aidedd.org/dnd/monstres.php?vo=efreeti,11.0,elemental,Large,17,200,fly,lawful evil,,Monster Manual (SRD),22.0,12.0,24.0,16.0,15.0,16.0,Slashing,3
eidolon,,12.0,undead,Medium,9,63,fly,any alignment,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
elder-brain,,14.0,aberration,Large,10,210,swim,lawful evil,Legendary,Volo's Guide to Monsters,,,,,,,Piercing,3
elder-oblex,,10.0,ooze,Huge,16,115,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Blunt,2
elder-tempest,,23.0,elemental,Gargantuan,19,264,fly,neutral,,Mordenkainen's Tome of Foes,,,,,,,Slashing,1
elephant,https://www.aidedd.org/dnd/monstres.php?vo=elephant,4.0,beast,Huge,12,76,,unaligned,,Monster Manual (SRD),22.0,9.0,17.0,3.0,11.0,6.0,Slashing,2
empyrean,,23.0,celestial (titan),Huge,22,313,"fly, swim",chaotic good ,Legendary,Monster Manual,,,,,,,Slashing,2
enchanter,,5.0,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
erinyes,https://www.aidedd.org/dnd/monstres.php?vo=erinyes,12.0,fiend (devil),Medium,18,153,fly,lawful evil,,Monster Manual (SRD),18.0,16.0,18.0,14.0,14.0,18.0,Fire,4
ettercap,https://www.aidedd.org/dnd/monstres.php?vo=ettercap,2.0,monstrosity,Medium,13,44,,neutral evil,,Monster Manual (SRD),14.0,15.0,13.0,7.0,12.0,8.0,Piercing,4
ettin,https://www.aidedd.org/dnd/monstres.php?vo=ettin,4.0,giant,Large,12,85,,chaotic evil,,Monster Manual (SRD),21.0,8.0,17.0,6.0,10.0,8.0,Blunt,3
evoker,,9.0,humanoid (any race),Medium,12,66,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
expert-lvl-1,,0.0,humanoid (any race),Medium,14,11,,any alignment,,Essentials Kit,,,,,,,Ice,4
expert-lvl-2,,0.0,humanoid (any race),Medium,14,16,,any alignment,,Essentials Kit,,,,,,,Ice,4
expert-lvl-3,,0.0,humanoid (any race),Medium,14,22,,any alignment,,Essentials Kit,,,,,,,Ice,4
expert-lvl-4,,0.0,humanoid (any race),Medium,14,27,,any alignment,,Essentials Kit,,,,,,,Ice,4
expert-lvl-5,,0.0,humanoid (any race),Medium,14,33,,any alignment,,Essentials Kit,,,,,,,Ice,4
expert-lvl-6,,0.0,humanoid (any race),Medium,14,38,,any alignment,,Essentials Kit,,,,,,,Ice,4
faerie-dragon,,1.0,dragon,Tiny,15,14,fly,chaotic good,,Monster Manual,,,,,,,Piercing,2
female-steeder,,1.0,monstrosity,Large,14,30,,unaligned,,Mordenkainen's Tome of Foes,,,,,,,Piercing,3
fire-elemental,https://www.aidedd.org/dnd/monstres.php?vo=fire-elemental,5.0,elemental,Large,13,102,,neutral,,Monster Manual (SRD),10.0,17.0,16.0,6.0,10.0,7.0,Slashing,3
fire-elemental-myrmidon,,7.0,elemental,Medium,18,123,,neutral,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
fire-giant,https://www.aidedd.org/dnd/monstres.php?vo=fire-giant,9.0,giant,Huge,18,162,,lawful evil,,Monster Manual (SRD),25.0,9.0,23.0,10.0,14.0,13.0,Blunt,2
fire-giant-dreadnought,,14.0,giant (fire giant),Huge,21,187,,lawful evil,,Volo's Guide to Monsters,,,,,,,Fire,2
fire-snake,https://www.aidedd.org/dnd/monstres.php?vo=fire-snake,1.0,elemental,Medium,14,22,,neutral evil,,Monster Manual (BR),12.0,14.0,11.0,7.0,10.0,8.0,Slashing,4
firenewt-warlock-of-imix,,1.0,humanoid (firenewt),Medium,10,33,,neutral evil,,Volo's Guide to Monsters,,,,,,,Fire,4
flail-snail,,3.0,elemental,Large,16,52,,unaligned,,Volo's Guide to Monsters,,,,,,,Slashing,3
flameskull,https://www.aidedd.org/dnd/monstres.php?vo=flameskull,4.0,undead,Tiny,13,40,fly,neutral evil,,Monster Manual (SRD),1.0,17.0,14.0,16.0,10.0,11.0,Piercing,2
flesh-golem,https://www.aidedd.org/dnd/monstres.php?vo=flesh-golem,5.0,construct,Medium,9,93,,neutral,,Monster Manual (SRD),19.0,9.0,18.0,6.0,10.0,5.0,Blunt,4
flind,https://www.aidedd.org/dnd/monstres.php?vo=flind,9.0,humanoid (gnoll),Medium,16,127,,chaotic evil,,Volo's Guide to Monsters,20.0,10.0,19.0,11.0,13.0,12.0,Ice,4
fomorian,,8.0,giant,Huge,14,149,,chaotic evil,,Monster Manual,,,,,,,Blunt,2
fraz-urb-luu,,23.0,fiend (demon),Large,18,337,fly,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,3
frog,https://www.aidedd.org/dnd/monstres.php?vo=frog,0.0,beast,Tiny,11,1,swim,unaligned,,Monster Manual (SRD),1.0,13.0,8.0,1.0,8.0,3.0,Slashing,2
froghemoth,https://www.aidedd.org/dnd/monstres.php?vo=froghemoth,10.0,monstrosity,Huge,14,184,swim,unaligned,,Volo's Guide to Monsters,23.0,13.0,20.0,2.0,12.0,5.0,Piercing,2
frost-giant,https://www.aidedd.org/dnd/monstres.php?vo=frost-giant,8.0,giant,Huge,15,138,,neutral evil,,Monster Manual (SRD),23.0,9.0,21.0,9.0,10.0,12.0,Blunt,2
frost-giant-everlasting-one,,12.0,giant (frost giant),Huge,15,189,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Ice,2
frost-salamander,,9.0,elemental,Huge,17,168,,unaligned,,Mordenkainen's Tome of Foes,,,,,,,Slashing,2
galeb-duhr,https://www.aidedd.org/dnd/monstres.php?vo=galeb-duhr,6.0,elemental,Medium,16,85,,neutral,,Monster Manual (BR),20.0,14.0,20.0,11.0,12.0,11.0,Slashing,4
gargoyle,https://www.aidedd.org/dnd/monstres.php?vo=gargoyle,2.0,elemental,Medium,15,52,fly,chaotic evil,,Monster Manual (SRD),15.0,11.0,16.0,6.0,11.0,7.0,Slashing,4
gauth,https://www.aidedd.org/dnd/monstres.php?vo=gauth,6.0,aberration,Medium,15,67,fly,lawful evil,,Volo's Guide to Monsters,10.0,14.0,16.0,15.0,15.0,13.0,Piercing,4
gelatinous-cube,https://www.aidedd.org/dnd/monstres.php?vo=gelatinous-cube,2.0,ooze,Large,6,84,,unaligned,,Monster Manual (SRD),14.0,3.0,20.0,1.0,6.0,1.0,Blunt,3
geryon,,22.0,fiend (devil),Huge,19,300,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,2
ghast,https://www.aidedd.org/dnd/monstres.php?vo=ghast,2.0,undead,Medium,13,36,,chaotic evil,,Monster Manual (SRD),16.0,17.0,10.0,11.0,10.0,8.0,Piercing,4
ghost,https://www.aidedd.org/dnd/monstres.php?vo=ghost,4.0,undead,Medium,11,45,fly,any alignment,,Monster Manual (SRD),7.0,13.0,10.0,10.0,12.0,17.0,Piercing,4
ghoul,https://www.aidedd.org/dnd/monstres.php?vo=ghoul,1.0,undead,Medium,12,22,,chaotic evil,,Monster Manual (SRD),13.0,15.0,10.0,7.0,10.0,6.0,Piercing,4
giant-ape,https://www.aidedd.org/dnd/monstres.php?vo=giant-ape,7.0,beast,Huge,12,157,,unaligned,,Monster Manual (SRD),23.0,14.0,18.0,7.0,12.0,7.0,Slashing,2
giant-boar,https://www.aidedd.org/dnd/monstres.php?vo=giant-boar,2.0,beast,Large,12,42,,unaligned,,Monster Manual (SRD),17.0,10.0,16.0,2.0,7.0,5.0,Slashing,3
giant-constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-constrictor-snake,2.0,beast,Huge,12,60,swim,unaligned,,Monster Manual (SRD),19.0,14.0,12.0,1.0,10.0,3.0,Slashing,2
giant-crocodile,https://www.aidedd.org/dnd/monstres.php?vo=giant-crocodile,5.0,beast,Huge,14,85,swim,unaligned,,Monster Manual (SRD),21.0,9.0,17.0,2.0,10.0,7.0,Slashing,2
giant-eagle,https://www.aidedd.org/dnd/monstres.php?vo=giant-eagle,1.0,beast,Large,13,26,fly,neutral good,,Monster Manual (SRD),16.0,17.0,13.0,8.0,14.0,10.0,Slashing,3
giant-elk,https://www.aidedd.org/dnd/monstres.php?vo=giant-elk,2.0,beast,Huge,14,42,,unaligned,,Monster Manual (SRD),19.0,16.0,14.0,7.0,14.0,10.0,Slashing,2
giant-fire-beetle,https://www.aidedd.org/dnd/monstres.php?vo=giant-fire-beetle,0.0,beast,Small,13,4,,unaligned,,Monster Manual (SRD),8.0,10.0,12.0,1.0,7.0,3.0,Slashing,3
giant-four-armed-gargoyle,,10.0,elemental,Large,17,147,fly,chaotic evil,,Adventures (Tomb of Annihilation),,,,,,,Slashing,3
giant-hyena,https://www.aidedd.org/dnd/monstres.php?vo=giant-hyena,1.0,beast,Large,12,45,,unaligned,,Monster Manual (SRD),16.0,14.0,14.0,2.0,12.0,7.0,Slashing,3
giant-octopus,https://www.aidedd.org/dnd/monstres.php?vo=giant-octopus,1.0,beast,Large,11,52,swim,unaligned,,Monster Manual (SRD),17.0,13.0,13.0,4.0,10.0,4.0,Slashing,3
giant-scorpion,https://www.aidedd.org/dnd/monstres.php?vo=giant-scorpion,3.0,beast,Large,15,52,,unaligned,,Monster Manual (SRD),15.0,13.0,15.0,1.0,9.0,3.0,Slashing,3
giant-shark,https://www.aidedd.org/dnd/monstres.php?vo=giant-shark,5.0,beast,Huge,13,126,swim,unaligned,,Monster Manual (SRD),23.0,11.0,21.0,1.0,10.0,5.0,Slashing,2
giant-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-spider,1.0,beast,Large,14,26,,unaligned,,Monster Manual (SRD),14.0,16.0,12.0,2.0,11.0,4.0,Slashing,3
giant-strider,,1.0,monstrosity,Large,14,22,,neutral evil,,Volo's Guide to Monsters,,,,,,,Piercing,3
giant-toad,https://www.aidedd.org/dnd/monstres.php?vo=giant-toad,1.0,beast,Large,11,39,swim,unaligned,,Monster Manual (SRD),15.0,13.0,13.0,2.0,10.0,3.0,Slashing,3
giant-vulture,https://www.aidedd.org/dnd/monstres.php?vo=giant-vulture,1.0,beast,Large,10,22,fly,neutral evil,,Monster Manual (SRD),15.0,10.0,15.0,6.0,12.0,7.0,Slashing,3
gibbering-mouther,https://www.aidedd.org/dnd/monstres.php?vo=gibbering-mouther,2.0,aberration,Medium,9,67,swim,neutral,,Monster Manual (SRD),10.0,8.0,16.0,3.0,10.0,6.0,Piercing,4
giff,,3.0,humanoid,Medium,16,60,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,,Ice,4
girallon,,4.0,monstrosity,Large,13,59,,unaligned,,Volo's Guide to Monsters,,,,,,,Piercing,3
githyanki-gish,,10.0,humanoid (gith),Medium,17,123,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
githyanki-kith--rak,,12.0,humanoid (gith),Medium,18,180,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
githyanki-knight,,8.0,humanoid (gith),Medium,18,91,,lawful evil,,Monster Manual,,,,,,,Piercing,4
githyanki-supreme-commander,,14.0,humanoid (gith),Medium,18,187,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
githyanki-warrior,,3.0,humanoid (gith),Medium,17,49,,lawful evil,,Monster Manual,,,,,,,Piercing,4
githzerai-anarch,,16.0,humanoid (gith),Medium,20,144,fly,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
githzerai-enlightned,,10.0,humanoid (gith),Medium,18,112,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
githzerai-monk,,2.0,humanoid (gith),Medium,14,38,,lawful neutral,,Monster Manual,,,,,,,Piercing,4
githzerai-zerth,,6.0,humanoid (gith),Medium,17,84,,lawful neutral,,Monster Manual,,,,,,,Piercing,4
glabrezu,https://www.aidedd.org/dnd/monstres.php?vo=glabrezu,9.0,fiend (demon),Large,17,157,,chaotic evil,,Monster Manual (SRD),20.0,15.0,21.0,19.0,17.0,16.0,Fire,3
gladiator,https://www.aidedd.org/dnd/monstres.php?vo=gladiator,5.0,humanoid (any race),Medium,16,112,,any alignment,,Monster Manual (SRD),18.0,15.0,16.0,10.0,12.0,15.0,Ice,4
gloom-weaver,,9.0,humanoid (elf),Medium,14,104,,neutral,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
gnoll-fang-of-yeenoghu,,4.0,fiend (gnoll),Medium,14,65,,chaotic evil,,Monster Manual,,,,,,,Fire,4
gnoll-flesh-gnawer,,1.0,humanoid (gnoll),Medium,14,22,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Ice,4
gnoll-pack-lord,https://www.aidedd.org/dnd/monstres.php?vo=gnoll-pack-lord,2.0,humanoid (gnoll),Medium,15,49,,chaotic evil,,Monster Manual (BR),16.0,14.0,13.0,8.0,11.0,9.0,Ice,4
goat,https://www.aidedd.org/dnd/monstres.php?vo=goat,0.0,beast,Medium,10,4,,unaligned,,Monster Manual (SRD),12.0,10.0,11.0,2.0,10.0,5.0,Slashing,4
goblin-boss,,1.0,humanoid (goblinoid),Small,17,21,,neutral evil,,Monster Manual,,,,,,,Blunt,3
gold-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=gold-dragon-wyrmling,3.0,dragon,Medium,17,60,"fly, swim",lawful good,,Monster Manual (SRD),19.0,14.0,17.0,14.0,11.0,16.0,Piercing,4
gorgon,https://www.aidedd.org/dnd/monstres.php?vo=gorgon,5.0,monstrosity,Large,19,114,,unaligned,,Monster Manual (SRD),20.0,11.0,18.0,2.0,12.0,7.0,Piercing,3
goristro,,17.0,fiend (demon),Huge,19,310,,chaotic evil,,Monster Manual,,,,,,,Fire,2
gray-render,,12.0,monstrosity,Large,19,189,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,,Piercing,3
gray-slaad,,9.0,aberration (shapechanger),Medium,18,127,,chaotic neutral,,Monster Manual,,,,,,,Ice,4
graz-zt,,24.0,"fiend (demon, shapechanger)",Large,20,346,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,3
green-abishai,,15.0,fiend (devil),Medium,18,187,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
green-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=green-dragon-wyrmling,2.0,dragon,Medium,17,38,"fly, swim",lawful evil,,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0,Piercing,4
green-hag,https://www.aidedd.org/dnd/monstres.php?vo=green-hag,3.0,fey,Medium,17,82,,neutral evil,,Monster Manual (SRD),18.0,12.0,16.0,13.0,14.0,14.0,Ice,4
green-slaad,,8.0,aberration (shapechanger),Large,16,127,,chaotic neutral,,Monster Manual,,,,,,,Ice,3
grell,https://www.aidedd.org/dnd/monstres.php?vo=grell,3.0,aberration,Medium,12,55,fly,neutral evil,,Monster Manual (BR),15.0,14.0,13.0,12.0,11.0,9.0,Piercing,4
grick,https://www.aidedd.org/dnd/monstres.php?vo=grick,2.0,monstrosity,Medium,14,27,,neutral,,Monster Manual (SRD),14.0,14.0,11.0,3.0,14.0,5.0,Piercing,4
grick-alpha,,7.0,monstrosity,Large,18,75,,neutral,,Monster Manual,,,,,,,Piercing,3
griffon,https://www.aidedd.org/dnd/monstres.php?vo=griffon,2.0,monstrosity,Large,12,59,fly,unaligned,,Monster Manual (SRD),18.0,15.0,16.0,2.0,13.0,8.0,Piercing,3
grung-elite-warrior,,2.0,humanoid (grung),Small,13,49,,lawful evil,,Volo's Guide to Monsters,,,,,,,Piercing,3
grung-wildling,,1.0,humanoid (grung),Small,13,27,,lawful evil,,Volo's Guide to Monsters,,,,,,,Piercing,3
guard-drake,,2.0,dragon,Medium,14,52,,unaligned,,Volo's Guide to Monsters,,,,,,,Piercing,4
guardian-naga,https://www.aidedd.org/dnd/monstres.php?vo=guardian-naga,10.0,monstrosity,Large,18,127,,lawful good,,Monster Manual (SRD),19.0,18.0,16.0,16.0,19.0,18.0,Piercing,3
gynosphinx,https://www.aidedd.org/dnd/monstres.php?vo=gynosphinx,11.0,monstrosity,Large,17,136,fly,lawful neutral,Legendary,Monster Manual (SRD),18.0,15.0,16.0,18.0,18.0,18.0,Piercing,3
halaster-blackcloak,,23.0,humanoid (human),Medium,14,246,,chaotic evil,,Adventures (Dungeon of the Mad Mage),,,,,,,Ice,4
half-ogre,https://www.aidedd.org/dnd/monstres.php?vo=half-ogre,1.0,giant,Large,12,30,,any chaotic alignment,,Monster Manual (BR),17.0,10.0,14.0,7.0,9.0,10.0,Blunt,3
half-red-dragon-veteran,https://www.aidedd.org/dnd/monstres.php?vo=half-red-dragon-veteran,5.0,humanoid (human),Medium,18,65,,any alignment,,Monster Manual (BR),16.0,13.0,14.0,10.0,11.0,10.0,Ice,4
harpy,https://www.aidedd.org/dnd/monstres.php?vo=harpy,1.0,monstrosity,Medium,11,38,fly,chaotic evil,,Monster Manual (SRD),12.0,13.0,12.0,7.0,10.0,13.0,Piercing,4
hawk,https://www.aidedd.org/dnd/monstres.php?vo=hawk,0.0,beast,Tiny,13,1,fly,unaligned,,Monster Manual (SRD),5.0,16.0,8.0,2.0,14.0,6.0,Slashing,2
hell-hound,https://www.aidedd.org/dnd/monstres.php?vo=hell-hound,3.0,fiend,Medium,15,45,,lawful evil,,Monster Manual (SRD),17.0,12.0,14.0,6.0,13.0,6.0,Fire,4
hellfire-engine,,16.0,construct,Huge,18,216,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Blunt,2
hellwasp,,5.0,fiend,Large,19,52,fly,lawful evil,,Adventures (Descent into Avernus),,,,,,,Fire,3
helmed-horror,https://www.aidedd.org/dnd/monstres.php?vo=helmed-horror,4.0,construct,Medium,20,60,fly,neutral,,Monster Manual (BR),18.0,13.0,16.0,10.0,10.0,10.0,Blunt,4
hezrou,https://www.aidedd.org/dnd/monstres.php?vo=hezrou,8.0,fiend (demon),Large,16,136,,chaotic evil,,Monster Manual (SRD),19.0,17.0,20.0,5.0,12.0,13.0,Fire,3
hill-giant,https://www.aidedd.org/dnd/monstres.php?vo=hill-giant,5.0,giant,Huge,13,105,,chaotic evil,,Monster Manual (SRD),21.0,8.0,19.0,5.0,9.0,6.0,Blunt,2
hippogriff,https://www.aidedd.org/dnd/monstres.php?vo=hippogriff,1.0,monstrosity,Large,11,19,fly,unaligned,,Monster Manual (SRD),17.0,13.0,13.0,2.0,12.0,8.0,Piercing,3
hobgoblin-captain,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin-captain,3.0,humanoid (goblinoid),Medium,17,39,,lawful evil,,Monster Manual (BR),15.0,14.0,14.0,12.0,10.0,13.0,Blunt,4
hobgoblin-devastator,,4.0,humanoid (goblinoid),Medium,13,45,,lawful evil,,Volo's Guide to Monsters,,,,,,,Blunt,4
hobgoblin-iron-shadow,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin-iron-shadow,2.0,humanoid (goblinoid),Medium,15,32,,lawful evil,,Volo's Guide to Monsters,14.0,16.0,15.0,14.0,15.0,11.0,Blunt,4
hobgoblin-warlord,,6.0,humanoid (goblinoid),Medium,20,97,,lawful evil,,Monster Manual,,,,,,,Blunt,4
homunculus,https://www.aidedd.org/dnd/monstres.php?vo=homunculus,0.0,construct,Tiny,13,5,fly,neutral,,Monster Manual (SRD),4.0,15.0,11.0,10.0,10.0,7.0,Blunt,2
hook-horror,https://www.aidedd.org/dnd/monstres.php?vo=hook-horror,3.0,monstrosity,Large,15,75,,neutral,,Monster Manual (BR),18.0,10.0,15.0,6.0,12.0,7.0,Piercing,3
horned-devil,https://www.aidedd.org/dnd/monstres.php?vo=horned-devil,11.0,fiend (devil),Large,18,178,fly,lawful evil,,Monster Manual (SRD),22.0,17.0,21.0,12.0,16.0,17.0,Fire,3
howler,,8.0,fiend,Large,16,90,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,3
hulking-crab,,5.0,beast,Huge,17,76,swim,unaligned,,Adventures (Storm King's Thunder),,,,,,,Slashing,2
hunter-shark,https://www.aidedd.org/dnd/monstres.php?vo=hunter-shark,2.0,beast,Large,12,45,swim,unaligned,,Monster Manual (SRD),18.0,13.0,15.0,1.0,10.0,4.0,Slashing,3
hutijin,,21.0,fiend (devil),Large,19,200,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,3
hydra,https://www.aidedd.org/dnd/monstres.php?vo=hydra,8.0,monstrosity,Huge,15,172,swim,unaligned,,Monster Manual (SRD),20.0,12.0,20.0,2.0,10.0,7.0,Piercing,2
hydroloth,,9.0,fiend (yugoloth),Medium,15,135,swim,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
hyena,https://www.aidedd.org/dnd/monstres.php?vo=hyena,0.0,beast,Medium,11,5,,unaligned,,Monster Manual (SRD),11.0,13.0,12.0,2.0,12.0,5.0,Slashing,4
ice-devil,https://www.aidedd.org/dnd/monstres.php?vo=ice-devil,14.0,fiend (devil),Large,18,180,,lawful evil,,Monster Manual (SRD),21.0,14.0,18.0,18.0,15.0,18.0,Fire,3
ice-toad,,1.0,monstrosity,Medium,12,32,swim,neutral,,Adventures (Tyranny of Dragons),,,,,,,Piercing,4
illusionist,,3.0,humanoid (any race),Medium,12,38,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
imix,,19.0,elemental,Huge,17,325,fly,neutral evil,,Adventures (Princes of the Apocalypse),,,,,,,Slashing,2
imp,https://www.aidedd.org/dnd/monstres.php?vo=imp,1.0,"fiend (devil, shapechanger)",Tiny,13,10,fly,lawful evil,,Monster Manual (SRD),6.0,17.0,13.0,11.0,12.0,14.0,Fire,2
intellect-devourer,,2.0,aberration,Tiny,12,21,,lawful evil,,Monster Manual,,,,,,,Piercing,2
invisible-stalker,https://www.aidedd.org/dnd/monstres.php?vo=invisible-stalker,6.0,elemental,Medium,14,104,fly,neutral,,Monster Manual (SRD),16.0,19.0,14.0,10.0,15.0,11.0,Slashing,4
iron-cobra,,4.0,construct,Medium,13,45,,unaligned,,Mordenkainen's Tome of Foes,,,,,,,Blunt,4
iron-consul,,2.0,humanoid (human),Medium,16,45,,lawful evil,,Adventures (Descent into Avernus),,,,,,,Ice,4
iron-golem,https://www.aidedd.org/dnd/monstres.php?vo=iron-golem,16.0,construct,Large,20,210,,unaligned,,Monster Manual (SRD),24.0,9.0,20.0,3.0,11.0,1.0,Blunt,3
jackal,https://www.aidedd.org/dnd/monstres.php?vo=jackal,0.0,beast,Small,12,3,,unaligned,,Monster Manual (SRD),8.0,15.0,11.0,3.0,12.0,6.0,Slashing,3
jarlaxle-baenre,,15.0,humanoid (elf),Medium,24,123,,chaotic neutral,,Adventures (Dragon Heist),,,,,,,Slashing,4
juiblex,,23.0,fiend (demon),Huge,18,350,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,2
kamadan,,4.0,monstrosity,Large,13,67,,unaligned,,Adventures (Tomb of Annihilation),,,,,,,Piercing,3
ki-rin,,12.0,celestial,Huge,20,152,fly,lawful good,Legendary,Volo's Guide to Monsters,,,,,,,Fire,2
killer-whale,https://www.aidedd.org/dnd/monstres.php?vo=killer-whale,3.0,beast,Huge,12,90,swim,unaligned,,Monster Manual (SRD),19.0,10.0,13.0,3.0,12.0,7.0,Slashing,2
knight,https://www.aidedd.org/dnd/monstres.php?vo=knight,3.0,humanoid (any race),Medium,18,52,,any alignment,,Monster Manual (SRD),16.0,11.0,14.0,11.0,11.0,15.0,Ice,4
kobold-dragonshield,,1.0,humanoid (kobold),Small,15,44,,lawful evil,,Volo's Guide to Monsters,,,,,,,Blunt,3
kobold-scale-sorcerer,,1.0,humanoid (kobold),Small,15,27,,lawful evil,,Volo's Guide to Monsters,,,,,,,Blunt,3
korred,,7.0,fey,Small,17,102,,chaotic neutral,,Volo's Guide to Monsters,,,,,,,Ice,3
kraken,https://www.aidedd.org/dnd/monstres.php?vo=kraken,23.0,monstrosity (titan),Gargantuan,18,472,swim,chaotic evil,Legendary,Monster Manual (SRD),30.0,11.0,25.0,22.0,18.0,20.0,Blunt,1
kraken-priest,,5.0,humanoid (any race),Medium,10,75,swim,any evil alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
kruthik-hive-lord,,5.0,monstrosity,Large,20,102,,unaligned,,Mordenkainen's Tome of Foes,,,,,,,Piercing,3
kuo-toa-archpriest,https://www.aidedd.org/dnd/monstres.php?vo=kuo-toa-archpriest,6.0,humanoid (kuo-toa),Medium,13,97,swim,neutral evil,,Monster Manual (BR),16.0,14.0,16.0,13.0,16.0,14.0,Piercing,4
